Temperature (K)	Pressure (psia)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/psia)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
295.00	846.60	0.60888	1.6424	10.190	11.448	44.707	21.424	141.62	142.26	0.15859	31.221	0.013017	vapor
295.00	848.08	0.61224	1.6333	10.176	11.430	44.636	21.485	143.77	142.12	0.15811	31.289	0.013105	vapor
295.00	848.08	0.61224	1.6333	10.176	11.430	44.636	21.485	143.77	142.12	0.15811	31.289	0.013105	supercritical
295.00	848.08	0.61224	1.6333	10.176	11.430	44.636	21.485	143.77	142.12	0.15811	31.289	0.013105	supercritical
295.00	849.57	0.61566	1.6243	10.162	11.411	44.565	21.548	145.99	141.98	0.15762	31.358	0.013195	supercritical
295.00	851.05	0.61912	1.6152	10.147	11.392	44.493	21.611	148.29	141.84	0.15712	31.428	0.013287	supercritical
295.00	852.53	0.62263	1.6061	10.133	11.373	44.420	21.675	150.67	141.69	0.15662	31.499	0.013382	supercritical
295.00	854.02	0.62620	1.5969	10.118	11.353	44.346	21.740	153.13	141.55	0.15611	31.572	0.013478	supercritical
295.00	855.50	0.62983	1.5877	10.104	11.333	44.272	21.806	155.67	141.40	0.15560	31.647	0.013578	supercritical
295.00	856.98	0.63351	1.5785	10.088	11.313	44.197	21.873	158.31	141.26	0.15508	31.723	0.013679	supercritical
295.00	858.47	0.63725	1.5693	10.073	11.293	44.120	21.941	161.05	141.11	0.15454	31.800	0.013784	supercritical
295.00	859.95	0.64105	1.5599	10.058	11.272	44.043	22.010	163.89	140.96	0.15401	31.879	0.013891	supercritical
295.00	861.43	0.64491	1.5506	10.042	11.251	43.965	22.080	166.84	140.81	0.15346	31.960	0.014000	supercritical
295.00	862.92	0.64884	1.5412	10.026	11.230	43.886	22.151	169.90	140.66	0.15290	32.043	0.014113	supercritical
295.00	864.40	0.65284	1.5318	10.010	11.208	43.806	22.223	173.09	140.50	0.15234	32.128	0.014229	supercritical
295.00	865.88	0.65691	1.5223	9.9931	11.186	43.725	22.297	176.40	140.35	0.15176	32.214	0.014348	supercritical
295.00	867.37	0.66106	1.5127	9.9764	11.164	43.643	22.371	179.85	140.19	0.15118	32.303	0.014470	supercritical
295.00	868.85	0.66528	1.5031	9.9593	11.142	43.559	22.447	183.45	140.03	0.15059	32.394	0.014596	supercritical
295.00	870.33	0.66959	1.4935	9.9419	11.119	43.475	22.523	187.20	139.87	0.14998	32.487	0.014726	supercritical
295.00	871.82	0.67397	1.4837	9.9243	11.095	43.389	22.602	191.11	139.71	0.14937	32.582	0.014859	supercritical
295.00	873.30	0.67845	1.4740	9.9063	11.072	43.302	22.681	195.20	139.54	0.14874	32.680	0.014997	supercritical
295.00	874.78	0.68301	1.4641	9.8880	11.047	43.213	22.762	199.48	139.38	0.14811	32.781	0.015139	supercritical
295.00	876.27	0.68768	1.4542	9.8693	11.023	43.123	22.844	203.95	139.21	0.14746	32.884	0.015285	supercritical
295.00	877.75	0.69244	1.4442	9.8503	10.998	43.032	22.927	208.64	139.04	0.14680	32.990	0.015436	supercritical
295.00	879.23	0.69731	1.4341	9.8309	10.972	42.939	23.012	213.55	138.86	0.14612	33.099	0.015591	supercritical
295.00	880.72	0.70229	1.4239	9.8111	10.946	42.844	23.098	218.71	138.69	0.14543	33.211	0.015752	supercritical
295.00	882.20	0.70738	1.4137	9.7909	10.920	42.748	23.186	224.13	138.51	0.14473	33.327	0.015919	supercritical
295.00	883.68	0.71259	1.4033	9.7703	10.893	42.650	23.275	229.83	138.33	0.14402	33.446	0.016091	supercritical
295.00	885.17	0.71794	1.3929	9.7492	10.865	42.550	23.366	235.84	138.15	0.14328	33.569	0.016269	supercritical
295.00	886.65	0.72341	1.3823	9.7277	10.837	42.449	23.459	242.17	137.97	0.14254	33.696	0.016454	supercritical
295.00	888.13	0.72903	1.3717	9.7056	10.808	42.345	23.553	248.84	137.79	0.14177	33.827	0.016645	supercritical
295.00	889.62	0.73480	1.3609	9.6831	10.779	42.239	23.648	255.90	137.60	0.14099	33.962	0.016844	supercritical
295.00	891.10	0.74072	1.3500	9.6600	10.749	42.131	23.746	263.37	137.41	0.14019	34.103	0.017050	supercritical
295.00	892.58	0.74682	1.3390	9.6363	10.718	42.020	23.845	271.27	137.22	0.13937	34.248	0.017264	supercritical
295.00	894.07	0.75309	1.3279	9.6119	10.687	41.908	23.946	279.66	137.02	0.13853	34.399	0.017486	supercritical
295.00	895.55	0.75954	1.3166	9.5870	10.654	41.792	24.049	288.56	136.83	0.13766	34.556	0.017717	supercritical
295.00	897.03	0.76620	1.3051	9.5613	10.621	41.674	24.154	298.02	136.63	0.13678	34.719	0.017958	supercritical
295.00	898.52	0.77307	1.2935	9.5350	10.587	41.552	24.260	308.09	136.43	0.13587	34.888	0.018209	supercritical
295.00	900.00	0.78016	1.2818	9.5079	10.552	41.428	24.369	318.83	136.22	0.13493	35.065	0.018470	supercritical
