Temperature (K)	Pressure (psia)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/psia)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
295.00	598.88	0.30625	3.2653	11.505	13.275	52.729	16.299	45.285	157.09	0.20065	26.199	0.0077149	vapor
295.00	600.37	0.30740	3.2531	11.500	13.268	52.688	16.316	45.446	157.03	0.20051	26.215	0.0077276	vapor
295.00	601.85	0.30856	3.2409	11.495	13.260	52.648	16.333	45.610	156.96	0.20036	26.231	0.0077404	vapor
295.00	603.33	0.30972	3.2287	11.489	13.253	52.608	16.350	45.774	156.90	0.20022	26.246	0.0077533	vapor
295.00	604.82	0.31088	3.2166	11.484	13.245	52.567	16.367	45.940	156.83	0.20007	26.262	0.0077663	vapor
295.00	606.30	0.31205	3.2046	11.479	13.238	52.527	16.384	46.107	156.77	0.19992	26.278	0.0077793	vapor
295.00	607.78	0.31323	3.1926	11.473	13.230	52.487	16.401	46.276	156.70	0.19978	26.294	0.0077925	vapor
295.00	609.27	0.31440	3.1806	11.468	13.222	52.446	16.419	46.446	156.64	0.19963	26.311	0.0078057	vapor
295.00	610.75	0.31558	3.1687	11.463	13.215	52.406	16.436	46.618	156.57	0.19948	26.327	0.0078191	vapor
295.00	612.23	0.31677	3.1569	11.457	13.207	52.366	16.454	46.791	156.51	0.19933	26.343	0.0078325	vapor
295.00	613.72	0.31796	3.1451	11.452	13.199	52.325	16.471	46.966	156.44	0.19918	26.359	0.0078460	vapor
295.00	615.20	0.31915	3.1333	11.447	13.192	52.285	16.489	47.142	156.37	0.19903	26.376	0.0078596	vapor
295.00	616.68	0.32035	3.1216	11.441	13.184	52.244	16.506	47.320	156.31	0.19887	26.392	0.0078733	vapor
295.00	618.17	0.32155	3.1099	11.436	13.176	52.204	16.524	47.500	156.24	0.19872	26.409	0.0078870	vapor
295.00	619.65	0.32276	3.0983	11.430	13.168	52.163	16.542	47.681	156.18	0.19857	26.426	0.0079009	vapor
295.00	621.13	0.32397	3.0867	11.425	13.160	52.123	16.560	47.863	156.11	0.19841	26.443	0.0079149	vapor
295.00	622.62	0.32519	3.0752	11.419	13.153	52.082	16.578	48.048	156.04	0.19826	26.459	0.0079290	vapor
295.00	624.10	0.32640	3.0637	11.414	13.145	52.041	16.596	48.234	155.98	0.19810	26.476	0.0079431	vapor
295.00	625.58	0.32763	3.0522	11.408	13.137	52.001	16.615	48.422	155.91	0.19794	26.493	0.0079574	vapor
295.00	627.07	0.32886	3.0408	11.403	13.129	51.960	16.633	48.611	155.84	0.19779	26.511	0.0079718	vapor
295.00	628.55	0.33009	3.0295	11.397	13.121	51.919	16.652	48.802	155.77	0.19763	26.528	0.0079862	vapor
295.00	630.03	0.33133	3.0182	11.392	13.113	51.879	16.670	48.996	155.70	0.19747	26.545	0.0080008	vapor
295.00	631.52	0.33257	3.0069	11.386	13.105	51.838	16.689	49.190	155.64	0.19731	26.563	0.0080155	vapor
295.00	633.00	0.33382	2.9957	11.381	13.097	51.797	16.708	49.387	155.57	0.19715	26.580	0.0080303	vapor
295.00	634.48	0.33507	2.9845	11.375	13.089	51.756	16.726	49.586	155.50	0.19699	26.598	0.0080451	vapor
295.00	635.97	0.33632	2.9733	11.369	13.081	51.715	16.745	49.786	155.43	0.19682	26.615	0.0080601	vapor
295.00	637.45	0.33759	2.9622	11.364	13.073	51.674	16.764	49.988	155.36	0.19666	26.633	0.0080752	vapor
295.00	638.93	0.33885	2.9511	11.358	13.065	51.633	16.784	50.193	155.29	0.19650	26.651	0.0080905	vapor
295.00	640.42	0.34012	2.9401	11.352	13.057	51.592	16.803	50.399	155.22	0.19633	26.669	0.0081058	vapor
295.00	641.90	0.34140	2.9291	11.346	13.048	51.551	16.822	50.607	155.16	0.19616	26.687	0.0081212	vapor
295.00	643.38	0.34268	2.9182	11.341	13.040	51.510	16.842	50.818	155.09	0.19600	26.705	0.0081368	vapor
295.00	644.87	0.34396	2.9073	11.335	13.032	51.469	16.861	51.030	155.02	0.19583	26.724	0.0081525	vapor
295.00	646.35	0.34525	2.8964	11.329	13.024	51.428	16.881	51.244	154.95	0.19566	26.742	0.0081683	vapor
295.00	647.83	0.34655	2.8856	11.323	13.016	51.387	16.901	51.461	154.88	0.19549	26.761	0.0081842	vapor
295.00	649.32	0.34785	2.8748	11.317	13.007	51.345	16.921	51.680	154.81	0.19532	26.779	0.0082002	vapor
295.00	650.80	0.34916	2.8640	11.312	12.999	51.304	16.941	51.901	154.74	0.19515	26.798	0.0082164	vapor
295.00	652.28	0.35047	2.8533	11.306	12.991	51.263	16.961	52.124	154.66	0.19498	26.817	0.0082327	vapor
295.00	653.77	0.35178	2.8426	11.300	12.982	51.221	16.981	52.349	154.59	0.19481	26.836	0.0082491	vapor
295.00	655.25	0.35311	2.8320	11.294	12.974	51.180	17.001	52.577	154.52	0.19463	26.855	0.0082656	vapor
295.00	656.73	0.35443	2.8214	11.288	12.965	51.138	17.022	52.807	154.45	0.19446	26.874	0.0082823	vapor
295.00	658.22	0.35577	2.8108	11.282	12.957	51.097	17.042	53.039	154.38	0.19428	26.893	0.0082991	vapor
295.00	659.70	0.35710	2.8003	11.276	12.948	51.055	17.063	53.274	154.31	0.19410	26.912	0.0083160	vapor
295.00	661.18	0.35845	2.7898	11.270	12.940	51.014	17.084	53.511	154.24	0.19393	26.932	0.0083331	vapor
295.00	662.67	0.35980	2.7793	11.264	12.931	50.972	17.105	53.751	154.16	0.19375	26.952	0.0083503	vapor
295.00	664.15	0.36115	2.7689	11.258	12.923	50.930	17.126	53.993	154.09	0.19357	26.971	0.0083676	vapor
295.00	665.63	0.36251	2.7585	11.252	12.914	50.888	17.147	54.238	154.02	0.19339	26.991	0.0083851	vapor
295.00	667.12	0.36388	2.7482	11.246	12.905	50.846	17.168	54.485	153.94	0.19320	27.011	0.0084027	vapor
295.00	668.60	0.36525	2.7378	11.240	12.897	50.804	17.190	54.735	153.87	0.19302	27.031	0.0084205	vapor
295.00	670.08	0.36663	2.7275	11.233	12.888	50.762	17.211	54.988	153.80	0.19284	27.051	0.0084384	vapor
295.00	671.57	0.36802	2.7173	11.227	12.879	50.720	17.233	55.244	153.72	0.19265	27.072	0.0084565	vapor
295.00	673.05	0.36941	2.7070	11.221	12.870	50.678	17.255	55.502	153.65	0.19247	27.092	0.0084747	vapor
295.00	674.53	0.37080	2.6969	11.215	12.862	50.636	17.277	55.763	153.58	0.19228	27.113	0.0084930	vapor
295.00	676.02	0.37221	2.6867	11.209	12.853	50.594	17.299	56.027	153.50	0.19209	27.133	0.0085116	vapor
295.00	677.50	0.37361	2.6766	11.202	12.844	50.551	17.321	56.294	153.43	0.19190	27.154	0.0085302	vapor
295.00	678.98	0.37503	2.6665	11.196	12.835	50.509	17.344	56.563	153.35	0.19171	27.175	0.0085491	vapor
295.00	680.47	0.37645	2.6564	11.190	12.826	50.467	17.366	56.836	153.28	0.19152	27.196	0.0085681	vapor
295.00	681.95	0.37788	2.6463	11.183	12.817	50.424	17.389	57.112	153.20	0.19133	27.217	0.0085873	vapor
295.00	683.43	0.37931	2.6363	11.177	12.808	50.381	17.411	57.391	153.13	0.19114	27.239	0.0086066	vapor
295.00	684.92	0.38075	2.6264	11.171	12.799	50.339	17.434	57.673	153.05	0.19094	27.260	0.0086261	vapor
295.00	686.40	0.38220	2.6164	11.164	12.790	50.296	17.457	57.959	152.97	0.19075	27.282	0.0086458	vapor
295.00	687.88	0.38366	2.6065	11.158	12.781	50.253	17.481	58.248	152.90	0.19055	27.304	0.0086656	vapor
295.00	689.37	0.38512	2.5966	11.151	12.771	50.210	17.504	58.540	152.82	0.19035	27.326	0.0086856	vapor
295.00	690.85	0.38659	2.5867	11.145	12.762	50.167	17.527	58.835	152.74	0.19015	27.348	0.0087058	vapor
295.00	692.33	0.38806	2.5769	11.138	12.753	50.124	17.551	59.134	152.67	0.18995	27.370	0.0087262	vapor
295.00	693.82	0.38954	2.5671	11.131	12.744	50.081	17.575	59.437	152.59	0.18975	27.392	0.0087468	vapor
295.00	695.30	0.39103	2.5573	11.125	12.734	50.038	17.599	59.743	152.51	0.18955	27.415	0.0087676	vapor
295.00	696.78	0.39253	2.5476	11.118	12.725	49.995	17.623	60.053	152.43	0.18934	27.437	0.0087885	vapor
295.00	698.27	0.39403	2.5379	11.112	12.716	49.951	17.647	60.366	152.35	0.18914	27.460	0.0088097	vapor
295.00	699.75	0.39554	2.5282	11.105	12.706	49.908	17.671	60.683	152.28	0.18893	27.483	0.0088310	vapor
295.00	701.23	0.39706	2.5185	11.098	12.697	49.864	17.696	61.005	152.20	0.18872	27.506	0.0088525	vapor
295.00	702.72	0.39859	2.5089	11.091	12.687	49.820	17.721	61.330	152.12	0.18852	27.530	0.0088743	vapor
295.00	704.20	0.40012	2.4993	11.085	12.678	49.777	17.746	61.659	152.04	0.18831	27.553	0.0088962	vapor
295.00	705.68	0.40166	2.4897	11.078	12.668	49.733	17.771	61.992	151.96	0.18809	27.577	0.0089184	vapor
295.00	707.17	0.40321	2.4801	11.071	12.659	49.689	17.796	62.330	151.88	0.18788	27.601	0.0089408	vapor
295.00	708.65	0.40477	2.4706	11.064	12.649	49.645	17.821	62.671	151.80	0.18767	27.624	0.0089634	vapor
295.00	710.13	0.40633	2.4610	11.057	12.639	49.601	17.847	63.017	151.72	0.18745	27.649	0.0089862	vapor
295.00	711.62	0.40790	2.4516	11.050	12.629	49.556	17.873	63.368	151.64	0.18724	27.673	0.0090092	vapor
295.00	713.10	0.40949	2.4421	11.043	12.620	49.512	17.899	63.723	151.55	0.18702	27.697	0.0090325	vapor
295.00	714.58	0.41108	2.4326	11.036	12.610	49.468	17.925	64.082	151.47	0.18680	27.722	0.0090559	vapor
295.00	716.07	0.41267	2.4232	11.029	12.600	49.423	17.951	64.446	151.39	0.18658	27.747	0.0090797	vapor
295.00	717.55	0.41428	2.4138	11.022	12.590	49.378	17.977	64.815	151.31	0.18635	27.772	0.0091036	vapor
295.00	719.03	0.41589	2.4045	11.015	12.580	49.334	18.004	65.189	151.23	0.18613	27.797	0.0091278	vapor
295.00	720.52	0.41752	2.3951	11.008	12.570	49.289	18.031	65.568	151.14	0.18591	27.822	0.0091523	vapor
295.00	722.00	0.41915	2.3858	11.001	12.560	49.244	18.058	65.952	151.06	0.18568	27.848	0.0091770	vapor
295.00	723.48	0.42079	2.3765	10.993	12.550	49.199	18.085	66.341	150.98	0.18545	27.874	0.0092020	vapor
295.00	724.97	0.42244	2.3672	10.986	12.540	49.153	18.113	66.736	150.89	0.18522	27.900	0.0092272	vapor
295.00	726.45	0.42410	2.3579	10.979	12.529	49.108	18.140	67.136	150.81	0.18499	27.926	0.0092527	vapor
295.00	727.93	0.42577	2.3487	10.971	12.519	49.062	18.168	67.541	150.72	0.18476	27.952	0.0092784	vapor
295.00	729.42	0.42745	2.3395	10.964	12.509	49.017	18.196	67.952	150.64	0.18452	27.979	0.0093044	vapor
295.00	730.90	0.42914	2.3303	10.957	12.498	48.971	18.224	68.369	150.55	0.18429	28.006	0.0093307	vapor
295.00	732.38	0.43083	2.3211	10.949	12.488	48.925	18.253	68.792	150.47	0.18405	28.033	0.0093573	vapor
295.00	733.87	0.43254	2.3119	10.942	12.478	48.879	18.281	69.220	150.38	0.18381	28.060	0.0093842	vapor
295.00	735.35	0.43426	2.3028	10.934	12.467	48.833	18.310	69.655	150.29	0.18357	28.087	0.0094114	vapor
295.00	736.83	0.43599	2.2936	10.927	12.457	48.787	18.339	70.096	150.21	0.18333	28.115	0.0094388	vapor
295.00	738.32	0.43772	2.2845	10.919	12.446	48.740	18.369	70.544	150.12	0.18309	28.143	0.0094666	vapor
295.00	739.80	0.43947	2.2755	10.911	12.435	48.694	18.398	70.998	150.03	0.18284	28.171	0.0094947	vapor
295.00	741.28	0.44123	2.2664	10.904	12.425	48.647	18.428	71.459	149.94	0.18259	28.199	0.0095231	vapor
295.00	742.77	0.44300	2.2573	10.896	12.414	48.600	18.458	71.926	149.86	0.18235	28.228	0.0095518	vapor
295.00	744.25	0.44478	2.2483	10.888	12.403	48.553	18.488	72.401	149.77	0.18210	28.257	0.0095809	vapor
295.00	745.73	0.44657	2.2393	10.880	12.392	48.506	18.519	72.883	149.68	0.18184	28.286	0.0096102	vapor
295.00	747.22	0.44837	2.2303	10.872	12.381	48.459	18.549	73.372	149.59	0.18159	28.315	0.0096400	vapor
295.00	748.70	0.45019	2.2213	10.865	12.370	48.411	18.580	73.869	149.50	0.18133	28.345	0.0096700	vapor
295.00	750.18	0.45201	2.2123	10.857	12.359	48.364	18.611	74.373	149.41	0.18108	28.375	0.0097004	vapor
295.00	751.67	0.45385	2.2034	10.849	12.348	48.316	18.643	74.886	149.32	0.18082	28.405	0.0097312	vapor
295.00	753.15	0.45570	2.1944	10.841	12.337	48.268	18.675	75.406	149.23	0.18055	28.435	0.0097624	vapor
295.00	754.63	0.45756	2.1855	10.832	12.325	48.220	18.707	75.935	149.13	0.18029	28.466	0.0097939	vapor
295.00	756.12	0.45943	2.1766	10.824	12.314	48.172	18.739	76.472	149.04	0.18003	28.497	0.0098258	vapor
295.00	757.60	0.46132	2.1677	10.816	12.303	48.123	18.771	77.017	148.95	0.17976	28.528	0.0098581	vapor
295.00	759.08	0.46321	2.1588	10.808	12.291	48.075	18.804	77.572	148.86	0.17949	28.559	0.0098908	vapor
295.00	760.57	0.46512	2.1500	10.800	12.280	48.026	18.837	78.136	148.76	0.17922	28.591	0.0099239	vapor
295.00	762.05	0.46705	2.1411	10.791	12.268	47.977	18.870	78.709	148.67	0.17895	28.623	0.0099574	vapor
295.00	763.53	0.46898	2.1323	10.783	12.257	47.928	18.904	79.292	148.57	0.17867	28.656	0.0099913	vapor
295.00	765.02	0.47093	2.1234	10.774	12.245	47.878	18.938	79.884	148.48	0.17839	28.688	0.010026	vapor
295.00	766.50	0.47290	2.1146	10.766	12.233	47.829	18.972	80.487	148.38	0.17811	28.721	0.010061	vapor
295.00	767.98	0.47488	2.1058	10.757	12.221	47.779	19.006	81.100	148.29	0.17783	28.755	0.010096	vapor
295.00	769.47	0.47687	2.0970	10.749	12.209	47.729	19.041	81.723	148.19	0.17755	28.788	0.010131	vapor
295.00	770.95	0.47887	2.0882	10.740	12.197	47.679	19.076	82.358	148.10	0.17726	28.822	0.010168	vapor
295.00	772.43	0.48089	2.0795	10.731	12.185	47.628	19.111	83.004	148.00	0.17697	28.856	0.010204	vapor
295.00	773.92	0.48293	2.0707	10.722	12.173	47.578	19.147	83.661	147.90	0.17668	28.891	0.010241	vapor
295.00	775.40	0.48498	2.0619	10.714	12.161	47.527	19.183	84.330	147.80	0.17639	28.926	0.010279	vapor
295.00	776.88	0.48705	2.0532	10.705	12.149	47.476	19.219	85.011	147.70	0.17610	28.961	0.010317	vapor
295.00	778.37	0.48913	2.0445	10.696	12.136	47.425	19.256	85.704	147.60	0.17580	28.997	0.010356	vapor
295.00	779.85	0.49122	2.0357	10.687	12.124	47.373	19.293	86.411	147.50	0.17550	29.033	0.010395	vapor
295.00	781.33	0.49334	2.0270	10.678	12.111	47.321	19.330	87.131	147.40	0.17520	29.070	0.010435	vapor
295.00	782.82	0.49547	2.0183	10.668	12.099	47.269	19.368	87.864	147.30	0.17489	29.106	0.010475	vapor
295.00	784.30	0.49761	2.0096	10.659	12.086	47.217	19.406	88.611	147.20	0.17458	29.144	0.010516	vapor
295.00	785.78	0.49978	2.0009	10.650	12.073	47.165	19.444	89.373	147.10	0.17427	29.181	0.010558	vapor
295.00	787.27	0.50196	1.9922	10.640	12.060	47.112	19.483	90.149	146.99	0.17396	29.219	0.010600	vapor
295.00	788.75	0.50416	1.9835	10.631	12.047	47.059	19.522	90.940	146.89	0.17364	29.258	0.010642	vapor
295.00	790.23	0.50638	1.9748	10.622	12.034	47.006	19.562	91.748	146.79	0.17333	29.297	0.010686	vapor
295.00	791.72	0.50861	1.9661	10.612	12.021	46.952	19.601	92.571	146.68	0.17300	29.336	0.010730	vapor
295.00	793.20	0.51087	1.9575	10.602	12.008	46.898	19.642	93.411	146.58	0.17268	29.376	0.010774	vapor
295.00	794.68	0.51314	1.9488	10.593	11.994	46.844	19.682	94.269	146.47	0.17235	29.416	0.010820	vapor
295.00	796.17	0.51543	1.9401	10.583	11.981	46.790	19.723	95.144	146.36	0.17202	29.456	0.010866	vapor
